
(-60.7, 0.0, 23.1)
(-60.7, 0.0, 23.1)
(-60.6, 0.0, 23.1)
(-60.2, 0.0, 23.1)
(-60.1, 0.0, 23.1)
(-60.0, 0.0, 23.1)
(-59.9, 0.0, 23.1)
(-59.7, 0.0, 23.1)
(-59.5, 0.0, 23.1)
(-59.4, 0.0, 23.1)
(-59.3, 0.0, 23.1)
(-59.2, 0.0, 23.2)
(-59.0, 0.0, 23.2)
(-58.9, 0.0, 23.2)
(-58.8, 0.0, 23.2)
(-58.6, 0.0, 23.2)
(-58.5, 0.0, 23.2)
(-58.3, 0.0, 23.2)
(-58.2, 0.0, 23.2)
(-58.1, 0.0, 23.2)
(-58.0, 0.0, 23.2)
(-57.9, 0.0, 23.2)
(-57.6, 0.0, 23.2)
(-57.5, 0.0, 23.2)
(-57.4, 0.0, 23.2)
(-57.3, 0.0, 23.2)
(-57.2, 0.0, 23.2)
(-57.0, 0.0, 23.2)
(-56.9, 0.0, 23.2)
(-56.7, 0.0, 23.2)
(-56.6, 0.0, 23.2)
(-56.4, 0.0, 23.2)
(-56.3, 0.0, 23.2)
(-56.2, 0.0, 23.2)
(-56.1, 0.0, 23.2)
(-56.0, 0.0, 23.2)
(-55.7, 0.0, 23.2)
(-55.6, 0.0, 23.2)
(-55.5, 0.0, 23.2)
(-55.4, 0.0, 23.2)
(-55.3, 0.0, 23.2)
(-55.1, 0.0, 23.2)
(-55.0, 0.0, 23.2)
(-54.9, 0.0, 23.2)
(-54.8, 0.0, 23.2)
(-54.6, 0.0, 23.2)
(-54.4, 0.0, 23.2)
(-54.3, 0.0, 23.3)
(-54.2, 0.0, 23.3)
(-54.1, 0.0, 23.3)
(-54.0, 0.0, 23.3)
(-53.8, 0.0, 23.3)
(-53.7, 0.0, 23.3)
(-53.5, 0.0, 23.3)
(-53.4, 0.0, 23.3)
(-53.3, 0.0, 23.3)
(-53.1, 0.0, 23.3)
(-53.0, 0.0, 23.3)
(-52.9, 0.0, 23.3)
(-52.8, 0.0, 23.3)
(-52.6, 0.0, 23.3)
(-52.4, 0.0, 23.3)
(-52.3, 0.0, 23.3)
(-52.2, 0.0, 23.3)
(-52.1, 0.0, 23.3)
(-51.9, 0.0, 23.3)
(-51.8, 0.0, 23.3)
(-51.7, 0.0, 23.3)
(-51.6, 0.0, 23.3)
(-51.5, 0.0, 23.3)
(-51.2, 0.0, 23.3)
(-51.1, 0.0, 23.3)
(-51.0, 0.0, 23.3)
(-50.9, 0.0, 23.3)
(-50.8, 0.0, 23.3)
(-50.6, 0.0, 23.3)
(-50.5, 0.0, 23.3)
(-50.4, 0.0, 23.4)
(-50.3, 0.0, 23.4)
(-50.2, 0.0, 23.4)
(-49.9, 0.0, 23.4)
(-49.8, 0.0, 23.4)
(-49.7, 0.0, 23.4)
(-49.6, 0.0, 23.4)
(-49.5, 0.0, 23.4)
(-49.3, 0.0, 23.4)
(-49.2, 0.0, 23.4)
(-49.1, 0.0, 23.4)
(-49.0, 0.0, 23.4)
(-48.7, 0.0, 23.4)
(-48.6, 0.0, 23.4)
(-48.5, 0.0, 23.4)
(-48.4, 0.0, 23.4)
(-48.3, 0.0, 23.4)
(-48.1, 0.0, 23.4)
(-48.0, 0.0, 23.4)
(-47.9, 0.0, 23.4)
(-47.8, 0.0, 23.4)
(-47.6, 0.0, 23.4)
(-47.4, 0.0, 23.4)
(-47.3, 0.0, 23.4)
(-47.2, 0.0, 23.4)
(-47.1, 0.0, 23.4)
(-47.0, 0.0, 23.4)
(-46.8, 0.0, 23.4)
(-46.7, 0.0, 23.4)
(-46.6, 0.0, 23.5)
(-46.4, 0.0, 23.5)
(-46.3, 0.0, 23.5)
(-46.1, 0.0, 23.5)
(-46.0, 0.0, 23.5)
(-45.9, 0.0, 23.5)
(-45.8, 0.0, 23.5)
(-45.6, 0.0, 23.5)
(-45.5, 0.0, 23.5)
(-45.4, 0.0, 23.5)
(-45.2, 0.0, 23.5)
(-45.1, 0.0, 23.5)
(-44.9, 0.0, 23.5)
(-44.8, 0.0, 23.5)
(-44.7, 0.0, 23.5)
(-44.6, 0.0, 23.5)
(-44.5, 0.0, 23.5)
(-44.2, 0.0, 23.5)
(-44.1, 0.0, 23.5)
(-44.0, 0.0, 23.5)
(-43.9, 0.0, 23.5)
(-43.8, 0.0, 23.5)
(-43.6, 0.0, 23.5)
(-43.5, 0.0, 23.5)
(-43.4, 0.0, 23.5)
(-43.3, 0.0, 23.5)
(-43.1, 0.0, 23.5)
(-42.9, 0.0, 23.5)
(-42.8, 0.0, 23.5)
(-42.7, 0.0, 23.5)
(-42.6, 0.0, 23.5)
(-42.5, 0.0, 23.5)
(-42.3, 0.0, 23.5)
(-42.1, 0.0, 23.6)
(-42.0, 0.0, 23.6)
(-41.9, 0.0, 23.6)
